시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,191,1,208,70,113,25
서울,중구,164,3,166,66,81,19
서울,용산구,170,7,177,56,111,10
서울,성동구,158,3,161,53,103,5
서울,동대문구,327,5,340,146,169,25
서울,성북구,228,9,227,90,119,18
서울,도봉구,190,1,199,82,97,20
서울,은평구,244,7,247,112,118,17
서울,서대문구,203,3,209,82,103,24
서울,마포구,191,4,201,62,126,13
서울,강서구,210,5,223,90,120,13
서울,구로구,242,6,249,95,137,17
서울,영등포구,350,6,358,107,231,20
서울,동작구,225,4,237,96,122,19
서울,관악구,182,3,188,65,105,18
서울,강남구,351,7,372,105,242,25
서울,강동구,242,4,259,102,127,30
서울,송파구,373,7,396,139,213,44
서울,서초구,290,4,311,88,197,26
서울,양천구,209,3,221,67,141,13
서울,중랑구,254,6,264,85,156,23
서울,노원구,245,8,248,93,141,14
서울,광진구,133,4,131,44,79,8
서울,강북구,246,8,249,94,147,8
서울,금천구,143,3,148,62,78,8
부산,중구,73,1,72,31,35,6
부산,서구,105,4,110,51,54,5
부산,동구,119,1,121,56,58,7
부산,영도구,81,2,82,35,41,6
부산,부산진구,290,7,298,154,125,19
부산,동래구,181,1,188,92,90,6
부산,남구,142,3,143,71,62,10
부산,북구,129,3,136,70,62,4
부산,해운대구,171,5,181,77,87,17
부산,사하구,169,0,182,96,79,7
부산,금정구,147,3,152,78,68,6
부산,강서구,66,2,74,28,42,4
부산,연제구,121,4,121,57,61,3
부산,수영구,111,1,116,52,57,7
부산,사상구,165,4,178,67,84,27
부산,기장군,77,4,88,37,49,2
경기,수원시,666,20,697,255,382,60
경기,성남시,522,8,568,229,295,44
경기,의정부시,264,9,286,92,162,32
경기,안양시,268,9,280,105,165,10
경기,부천시,413,10,434,161,241,32
경기,안산시,390,10,417,146,258,13
경기,평택시,460,19,500,167,278,55
경기,광명시,176,3,179,64,83,32
경기,구리시,99,2,100,37,57,6
경기,양주시,166,6,178,66,99,13
경기,여주시,112,6,132,47,80,5
경기,화성시,308,11,354,132,201,21
경기,시흥시,235,4,259,89,157,13
경기,파주시,277,8,314,115,180,19
경기,고양시,541,14,600,218,327,55
경기,광주시,241,8,264,85,166,13
경기,연천군,60,3,70,30,38,2
경기,포천시,165,7,205,79,94,32
경기,가평군,83,5,102,29,65,8
경기,양평군,128,10,149,63,75,11
경기,이천시,159,9,183,70,100,13
경기,용인시,459,14,501,200,221,80
경기,안성시,187,4,210,87,101,22
경기,김포시,277,10,303,120,162,21
경기,동두천시,95,4,105,48,53,4
경기,과천시,41,1,45,16,24,5
경기,군포시,104,3,109,44,50,15
경기,남양주시,374,22,399,134,241,24
경기,오산시,124,0,141,55,74,12
경기,의왕시,56,1,65,31,27,7
경기,하남시,157,6,158,53,89,16
강원,춘천시,268,8,313,94,199,20
강원,원주시,312,4,364,125,212,27
강원,동해시,86,3,92,25,65,2
강원,강릉시,212,14,227,95,127,5
강원,속초시,88,3,94,43,51,0
강원,태백시,58,5,60,28,31,1
강원,삼척시,106,4,131,52,75,4
강원,홍천군,90,5,111,50,55,6
강원,횡성군,49,6,53,25,27,1
강원,영월군,69,8,81,28,23,30
강원,평창군,57,5,74,29,38,7
강원,정선군,35,7,37,21,16,0
강원,철원군,43,3,46,25,21,0
강원,화천군,18,1,24,17,7,0
강원,양구군,21,4,19,5,13,1
강원,인제군,22,3,31,16,15,0
강원,고성군,39,5,49,18,26,5
강원,양양군,39,6,57,21,32,4
충북,청주시,785,30,863,321,525,17
충북,충주시,295,12,315,134,158,23
충북,제천시,234,8,266,86,165,15
충북,보은군,64,1,77,49,28,0
충북,옥천군,82,6,84,40,42,2
충북,영동군,54,3,56,45,10,1
충북,진천군,97,9,98,49,47,2
충북,괴산군,93,5,116,54,57,5
충북,음성군,148,7,168,88,73,7
충북,단양군,36,3,37,15,21,1
충북,증평군,48,1,58,33,23,2
충남,천안시,407,23,424,157,244,23
충남,아산시,131,17,121,67,45,9
충남,보령시,90,10,88,59,28,1
충남,공주시,177,10,200,104,84,12
충남,서산시,191,17,204,128,64,12
충남,금산군,71,6,78,21,57,0
충남,태안군,116,9,133,68,52,13
충남,논산시,145,18,146,93,47,6
충남,부여군,92,11,92,57,35,0
충남,서천군,149,8,173,79,86,8
충남,청양군,73,10,68,41,27,0
충남,홍성군,94,17,94,50,44,0
충남,예산군,146,12,159,80,77,2
충남,당진시,203,17,228,132,90,6
충남,계룡시,24,1,24,9,14,1
전북,전주시,419,18,452,171,278,3
전북,군산시,260,14,271,103,162,6
전북,정읍시,237,5,264,99,156,9
전북,남원시,136,20,136,68,68,0
전북,김제시,155,17,153,73,80,0
전북,완주군,71,8,83,51,30,2
전북,진안군,19,3,18,12,6,0
전북,무주군,46,8,56,27,29,0
전북,장수군,25,0,38,18,20,0
전북,임실군,38,1,46,16,30,0
전북,순창군,45,3,49,18,28,3
전북,고창군,55,15,56,31,23,2
전북,부안군,126,5,144,64,78,2
전북,익산시,224,17,228,100,124,4
전남,목포시,275,9,319,92,224,3
전남,여수시,277,14,307,115,181,11
전남,순천시,261,13,295,113,175,7
전남,나주시,183,16,206,75,129,2
전남,광양시,123,6,133,52,74,7
전남,담양군,110,10,118,52,66,0
전남,곡성군,60,1,69,31,35,3
전남,구례군,48,3,54,18,33,3
전남,고흥군,121,7,140,74,63,3
전남,보성군,136,10,160,66,85,9
전남,화순군,90,4,110,41,58,11
전남,장흥군,116,6,139,49,87,3
전남,강진군,120,6,153,45,104,4
전남,해남군,136,11,150,67,80,3
전남,영암군,138,13,179,72,106,1
전남,무안군,88,3,100,40,59,1
전남,함평군,82,4,102,33,56,13
전남,영광군,92,8,105,48,52,5
전남,장성군,74,4,86,24,53,9
전남,완도군,63,6,76,32,44,0
전남,진도군,56,4,63,33,30,0
전남,신안군,36,7,35,24,11,0
경북,포항시,536,32,588,220,354,14
경북,경주시,418,25,447,212,217,18
경북,김천시,169,7,181,95,82,4
경북,안동시,252,14,279,111,164,4
경북,구미시,234,15,257,125,110,22
경북,영주시,166,5,180,94,74,12
경북,영천시,228,7,281,94,173,14
경북,문경시,158,7,185,71,110,4
경북,상주시,228,18,240,123,115,2
경북,군위군,44,3,47,25,22,0
경북,의성군,108,7,120,79,41,0
경북,청송군,41,6,43,25,16,2
경북,영양군,33,1,37,21,16,0
경북,영덕군,83,6,91,39,47,5
경북,청도군,87,10,101,46,53,2
경북,고령군,70,3,76,41,33,2
경북,성주군,93,6,102,48,54,0
경북,칠곡군,152,7,170,64,73,33
경북,예천군,77,4,79,62,17,0
경북,봉화군,56,0,67,29,30,8
경북,울진군,54,0,67,32,32,3
경북,울릉군,8,1,8,6,2,0
경북,경산시,193,18,199,102,97,0
경남,진주시,187,8,196,132,58,6
경남,통영시,153,5,166,76,84,6
경남,김해시,307,13,338,192,132,14
경남,밀양시,118,8,125,64,61,0
경남,거제시,106,4,111,43,66,2
경남,의령군,61,7,62,32,29,1
경남,함안군,81,13,77,42,31,4
경남,창녕군,138,5,161,68,75,18
경남,양산시,162,12,171,86,67,18
경남,고성군,71,11,72,41,31,0
경남,사천시,186,8,205,89,105,11
경남,남해군,76,3,88,56,29,3
경남,하동군,62,5,69,46,23,0
경남,산청군,77,6,86,51,27,8
경남,함양군,70,7,78,33,39,6
경남,거창군,71,6,72,40,29,3
경남,합천군,74,6,74,42,27,5
경남,창원시(통합),527,31,538,255,267,16
제주,제주시,446,18,471,199,232,40
제주,서귀포시,287,17,327,146,137,44
대구,중구,178,4,187,70,86,31
대구,동구,334,9,362,158,175,29
대구,서구,222,7,223,71,123,29
대구,남구,167,5,177,61,104,12
대구,북구,387,13,412,162,205,45
대구,수성구,338,10,352,143,177,32
대구,달서구,423,4,455,162,261,32
대구,달성군,132,4,149,67,74,8
인천,중구,64,5,70,35,33,2
인천,동구,35,2,34,19,11,4
인천,남구,177,9,178,66,95,17
인천,부평구,125,3,126,61,59,6
인천,남동구,179,2,193,66,117,10
인천,서구,139,6,142,68,69,5
인천,연수구,72,6,69,38,29,2
인천,계양구,100,4,105,48,51,6
인천,강화군,79,4,94,51,35,8
인천,옹진군,5,1,4,4,0,0
광주,동구,127,0,146,48,93,5
광주,서구,248,5,268,67,194,7
광주,북구,372,15,401,107,287,7
광주,광산구,259,16,289,86,198,5
광주,남구,131,8,141,52,86,3
대전,동구,279,11,313,119,189,5
대전,중구,234,4,255,92,151,12
대전,서구,290,8,308,100,196,12
대전,유성구,239,5,275,94,176,5
대전,대덕구,134,6,134,51,77,6
울산,중구,151,5,159,58,81,20
울산,남구,169,8,174,78,88,8
울산,동구,70,3,71,36,35,0
울산,북구,67,4,76,32,40,4
울산,울주군,132,7,159,55,84,20
세종,세종,128,8,136,61,70,5
